"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/1716040761440","md_403_knee_0859smaller_1.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_403_knee_0859smaller_1.png?v=1596754106","Knee Sleeve w/Anterior Patch - McDavid","2019-05-01 15:31:27 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716040990816","md_419_kneesupportadjustable.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_419_kneesupportadjustable.png?v=1596754107","Knee Support/Adjustable - McDavid","2019-05-01 15:31:35 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041023584","md_419_kneesupportadjustable_straps.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_419_kneesupportadjustable_straps.png?v=1748981107","Knee Support/Adjustable - McDavid","2019-05-01 15:31:35 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041154656","md_199-01-29-ankle-brace-laceup-stays-black_front-0173_1.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_199-01-29-ankle-brace-laceup-stays-black_front-0173_1.png?v=1628272312","McDavid Ankle Brace/Lace-Up w/Stays - Side View","2019-05-01 15:31:45 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041187424","md_199_anklebracelaceupstays_inside_1.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_199_anklebracelaceupstays_inside_1.png?v=1628272312","McDavid - Ankle Brace/Lace-Up w/Stays - Side View","2019-05-01 15:31:45 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041220192","md_199_anklebracelaceupstays_back_1.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_199_anklebracelaceupstays_back_1.png?v=1749164753","McDavid Ankle Brace/Lace-Up w/Stays - Back/Side View","2019-05-01 15:31:45 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041252960","md_199_anklebracelaceupstays_back2_1.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_199_anklebracelaceupstays_back2_1.png?v=1749164753","McDavid Ankle Brace/Lace-Up w/Stays -Side/Back View","2019-05-01 15:31:45 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041547872","md_325_athletic_supporter_flexcup.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_325_athletic_supporter_flexcup.png?v=1596754111","Athletic Supporter w/Flexcup - McDavid","2019-05-01 15:31:58 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041941088","md_401_kneesleeve.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_401_kneesleeve.png?v=1596754112","McDavid Knee Sleeve - Side View","2019-05-01 15:32:16 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716041973856","md_401_kneesleeve_tab.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_401_kneesleeve_tab.png?v=1596754112","McDavid Knee Sleeve in black being pulled over the knee","2019-05-01 15:32:16 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716042236000","md_410_kneesupportsorbothanepad.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_410_kneesupportsorbothanepad.png?v=1596754113","McDavid- Knee Support with Sorbothane® Pad - Side View","2019-05-01 15:32:29 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716042268768","md_410_kneesupportsorbothanepad_tab.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_410_kneesupportsorbothanepad_tab.png?v=1749227577","McDavid Knee Support with Sorbothane® Pad shown being pulled on","2019-05-01 15:32:29 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716042498144","md_404_knee_blk.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_404_knee_blk.png?v=1596754116","Knee Sleeve w/Anterior Patch & Open Patella - McDavid","2019-05-01 15:32:39 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716042727520","md_431_anklesleeve_3.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_431_anklesleeve_3.png?v=1596754116","Ankle Sleeve - McDavid","2019-05-01 15:32:51 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716042760288","md_431_anklesleeve_back.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_431_anklesleeve_back.png?v=1596754117","Ankle Sleeve - McDavid","2019-05-01 15:32:51 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716042956896","md_439_plantarfasciasupport.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_439_plantarfasciasupport.png?v=1596754118","Plantar Fascia Support w/2mm Gel Pad - McDavid","2019-05-01 15:33:03 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716043153504","md_421_kneesupportstays.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_421_kneesupportstays.png?v=1596754118","Knee Support w/Stays - McDavid","2019-05-01 15:33:12 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716043186272","md_421_kneesupportstays_back.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_421_kneesupportstays_back.png?v=1748981360","McDavid-Knee Support with Stays- Side View","2019-05-01 15:33:12 -0700","IMAGE","image/png","1000","1000","","Ready",""
"gid://shopify/MediaImage/1716043513952","md_402_kneesleeveopenpatella.png","MERGE","https://cdn.shopify.com/s/files/1/0096/9926/2560/products/md_402_kneesleeveopenpatella.png?v=1628272397","McDavid- Knee Sleeve with Open Patella - Side View","2019-05-01 15:33:25 -0700","IMAGE","image/png","1000","1000","","Ready",""
