"ID","Handle","Command","Display Name","Status","Updated At","Definition: Handle","Definition: Name","Top Row","Row #","Field","Value"
"56547901603","best-selling-protection","MERGE","BEST-SELLING PROTECTION","Active","2024-05-08 10:07:34 -0700","features","Features","true","1","title","BEST-SELLING PROTECTION"
"56547901603","best-selling-protection","MERGE","BEST-SELLING PROTECTION","Active","2024-05-08 10:07:34 -0700","features","Features","","2","description","Specifically designed to anatomically wrap, flex and protect the knee by absorbing collisions, body-to-body contact and other impact."
"56547934371","ultimate-confidence-in-motion","MERGE","ULTIMATE CONFIDENCE IN MOTION","Active","2024-05-08 10:07:40 -0700","features","Features","true","3","title","ULTIMATE CONFIDENCE IN MOTION"
"56547934371","ultimate-confidence-in-motion","MERGE","ULTIMATE CONFIDENCE IN MOTION","Active","2024-05-08 10:07:40 -0700","features","Features","","4","description","Best in class 9mm HEX® Technology contours perfectly to the knee to protect without restricting movement."
"56547967139","extended-length","MERGE","EXTENDED LENGTH","Active","2024-05-08 10:07:46 -0700","features","Features","true","5","title","EXTENDED LENGTH"
"56547967139","extended-length","MERGE","EXTENDED LENGTH","Active","2024-05-08 10:07:46 -0700","features","Features","","6","description","Longer bottom portion of leg sleeve adds protection against cuts, scratches and abrasions."
"56547999907","superior-fit-unmatched-performance","MERGE","SUPERIOR FIT, UNMATCHED PERFORMANCE","Active","2024-05-08 10:07:51 -0700","features","Features","true","7","title","SUPERIOR FIT, UNMATCHED PERFORMANCE"
"56547999907","superior-fit-unmatched-performance","MERGE","SUPERIOR FIT, UNMATCHED PERFORMANCE","Active","2024-05-08 10:07:51 -0700","features","Features","","8","description","Often imitated, HEX® remains the protection innovation leader and top choice of countless high school, collegiate and professional athletes in Basketball, Football, Volleyball and other court, field and impact sports."
"56548032675","moisture-wicking","MERGE","MOISTURE WICKING","Active","2024-05-08 10:08:00 -0700","features","Features","true","9","title","MOISTURE WICKING"
"56548032675","moisture-wicking","MERGE","MOISTURE WICKING","Active","2024-05-08 10:08:00 -0700","features","Features","","10","description","hDc® Moisture Management Technology is all about cool and dry."
"56548065443","unisex","MERGE","UNISEX","Active","2024-05-01 01:09:35 -0700","features","Features","true","11","title","UNISEX"
"56548065443","unisex","MERGE","UNISEX","Active","2024-05-01 01:09:35 -0700","features","Features","","12","description","Designed for both Men and Women."
