"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: nogin.element_data [json]","Metafield: nogin.layout [single_line_text_field]","Metafield: brand [string]","Metafield: collection_hero [multi_line_text_field]","Metafield: collection_hero [single_line_text_field]","Metafield: shogun.above [string]","Metafield: shogun.below [string]","Metafield: shogun.head [string]","Metafield: shogun.products [string]","Metafield: collection_hero [string]","Metafield: collection_hero_m [string]","Metafield: collection_hero_alt [string]"
"93993271392","hex","MERGE","HEX® Protective Gear","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">HEX® Padded Protective Gear</h2>
<br>
<p style=""text-align: left;"">Improve your game with HEX® gear, the ultimate choice for high-performing athletes. Your athletic wear is a critical factor in determining your success, which is why we offer state-of-the-art protective gear to help you achieve your goals.</p>
<br>
<p style=""text-align: left;"">Our HEX® gear is specifically designed to support your body, muscles, and movements, allowing you to perform at your best. Whether you need HEX® pads, padded leg and arm sleeves, or padded shirts, shorts, tights, and supports, we have everything you need to enhance your game.</p>
<br>
<p style=""text-align: left;"">Investing in HEX® gear is investing in your success. Don't settle for anything less than the best - choose HEX® and take your performance to the next level.</p>
<br>
<p style=""text-align: left;"">Shop HEX® Protective Gear &amp; Accessories: <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/hex-padded-leg-sleeves"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Leg Sleeves</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/hex-padded-arm-sleeves"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Arm Sleeves</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/hex-padded-tops"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Tops</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/hex-padded-bottoms"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Bottoms</a></strong></span></p>","Manual","","2025-11-11 04:03:42 -0800","true","2019-05-02 12:50:28 -0700","web","","","","","1","true","all conditions","Title","Contains","HEX","HEX® Protective Gear for Superior Performance | McDavidUSA","Get top-of-the-line athlete-specific protection with McDavid's HEX®  protective gear collection. Shop our innovative HEX®  sleeves, shirts, bottoms and more for unparalleled padding and sport protection. Order now!","","","MD","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/Hex25_Kyrie_Launch_SubCat_Hero.webp?v=1760390034","","","","","","","",""
"93993336928","protection","MERGE","Protective Gear - Shirts, Tanks, Tights and Shorts","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">Protective Gear &amp; Accessories</h2>
<br>
<p style=""text-align: left;"">McDavid's Protective Collection is designed to provide the best support and confidence to athletes. With over 35+ years of experience, we design gear that works on every level, taking into account the specific ergonomic and structural nature of each body part and potential condition.</p>
<br>
<p style=""text-align: left;"">We offer protective gear that supports your ligaments, muscles, and your next game-altering thought, bolstering every athlete's attitude and confidence. Trust McDavid to provide you with top-quality protective gear that ensures you perform at your best.</p>
<br>
<p style=""text-align: left;"">Shop By Protection Type: <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/protection-padded-tops"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Tops</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/protection-padded-bottoms"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Bottoms</a></strong></span> | <span style=""color: #e31e37;""><strong><span style=""text-decoration: underline;""><a href=""/collections/protection-padded-sleeves"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Padded Sleeves</a></span></strong></span> | <span style=""color: #e31e37;""><strong><span style=""text-decoration: underline;""><a href=""/collections/protection-cup-supporters"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Cups, Jockstraps and Supporters</a></span></strong></span></p>","Manual","","2025-11-11 04:03:42 -0800","true","2019-05-02 12:52:08 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/TopNavBanner_0d9f81e6-02aa-45d7-9ba9-4d97a7350174.png?v=1580545755","5","5","","2","true","all conditions","Type","Equals","Protection","Protective Collection - Top-Quality Gear for Athletes | McDavidUSA","Get superior protection and performance with McDavid's Protective Collection. Our gear is designed with over 35 years of experience to support your ligaments, muscles, and every game-altering thought. From compression sleeves to knee pads, we have you covered for any sport. Trust McDavid for top-quality!","","","MD","","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/MD23_PLP_CollectionImageHeaders_Protection.jpg?v=1685985472","","","","","","",""
"93993369696","compression","MERGE","Compression Wear & Recovery Gear","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">Compression Athletic Gear</h2>
<br>
<p style=""text-align: left;"">McDavid compression wear and recovery gear are designed to help athletes train harder, recover faster, and perform better. Our gear utilizes targeted compression to improve circulation and support muscles, while also promoting recovery after exercise.</p>
<br>
<p style=""text-align: left;"">We offer a range of compression wear and recovery gear, including compression sleeves, socks, tights, and more. Whether you're looking to improve your performance on the field or in the gym, McDavid has the gear you need to take your training to the next level.</p>
<br>
<p style=""text-align: left;"">Shop Compression Gear for Performance and Recovery: <span style=""text-decoration: underline; color: #e31e37;""><strong><a rel=""norefferer nofollow"" href=""/collections/compression-arm-sleeves"" style=""color: #e31e37; text-decoration: underline;"">Arm Sleeves</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a rel=""norefferer nofollow"" href=""/collections/compression-leg-sleeves"" style=""color: #e31e37; text-decoration: underline;"">Leg Sleeves</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a rel=""norefferer nofollow"" href=""/collections/compression-tops"" style=""color: #e31e37; text-decoration: underline;"">Shirts and Tanks</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a rel=""norefferer nofollow"" href=""/collections/compression-bottoms"" style=""color: #e31e37; text-decoration: underline;"">Shorts and Tights</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a rel=""norefferer nofollow"" href=""/collections/compression-socks"" style=""color: #e31e37; text-decoration: underline;"">Socks</a> </strong></span></p>","Manual","","2025-11-11 04:03:42 -0800","true","2019-05-02 12:52:08 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/800x400_413d17a7-8148-4262-8595-317558c52d26.png?v=1580545322","5","5","","3","true","all conditions","Tag","Equals","Compression","Compression & Recovery Gear | McDavidUSA","Choosing the right compression gear is all about feel. Whether you wear them on game day to boost body awareness or you rely on compression sleeves to speed recovery after a workout, your compression apparel should fit well and have the flexibility to move. Shop now and get Fast, Free Shipping with Qualifying Orders!","","","","","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/MD23_PLP_CollectionImageHeaders_Compression.jpg?v=1685985471","","","","","","",""
"93993435232","accessories","MERGE","Accessories","","Manual","","2025-11-09 04:03:30 -0800","true","2019-05-02 12:52:08 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/800x400_dadb9b0f-0c42-465c-86e3-1c2bbb358fd2.png?v=1580545949","5","5","","4","true","all conditions","Vendor","Equals","McDavid","Sports Recovery & Compression Accessories | McDavidUSA","Looking for sports recovery and compression accessories? Check out McDavidUSA for gear that helps your drive stability and performance! Browse our stock today! Earn FREE Shipping with Qualifying Orders! Learn more....","","","","","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/MD23_Ecomm_Website_PLP_Accessories.jpg?v=1685984236","","","","","","",""
"93993435232","accessories","MERGE","Accessories","","Manual","","2025-11-09 04:03:30 -0800","true","2019-05-02 12:52:08 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/800x400_dadb9b0f-0c42-465c-86e3-1c2bbb358fd2.png?v=1580545949","5","5","","5","","","Type","Equals","Accessories","","","","","","","","","","","","","",""
"93993468000","outlet","MERGE","Outlet and Clearance Gear","<div class=""shogun-root"" data-shogun-id=""5fa45bbbc78f41005136c314"" data-shogun-site-id=""ca27d9dd-1009-49a5-b304-4669c3eaa929"" data-shogun-page-id=""5fa45bbbc78f41005136c314"" data-shogun-page-version-id=""61b9a2af50480d00f690b15b"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""61b9a2af50480d00f690b173"" data-shogun-page-type=""category"" data-shogun-power-up-type="""" data-shogun-power-up-id="""" data-region=""main""> <div id=""s-85db9e7c-29c5-46bb-b3cd-0d705d23a483"" class=""shg-c ""> </div> </div>","Manual","shogun","2025-11-11 04:03:42 -0800","true","2019-05-02 12:52:08 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/800x400_526e205a-96e9-49f1-8e9c-eaf26aec83ea.png?v=1580545726","5","5","","6","true","all conditions","Variant Compare At Price","Greater Than","0","Sports Gear, Braces, Supports Sale & Clearance | McDavidUSA","Looking for high-quality sports gear at affordable prices? Check out our outlet-clearance section at McDavidUSA. Browse our sale page for a wide selection of protective gear, sleeves, and more at discounted prices. Don't miss out on our limited time offers and get your gear at half the cost today!","","","","","","<div class=""shogun-root"" data-shogun-id=""5fa45bbbc78f41005136c314"" data-shogun-site-id=""ca27d9dd-1009-49a5-b304-4669c3eaa929"" data-shogun-page-id=""5fa45bbbc78f41005136c314"" data-shogun-page-version-id=""61b9a2af50480d00f690b15b"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""61b9a2af50480d00f690b173"" data-shogun-page-type=""category"" data-shogun-power-up-type="""" data-shogun-power-up-id="""" data-region=""above""> <link rel=""stylesheet"" type=""text/css"" href=""https://a.shgcdn2.com/css-2025-01-22-0523/61b9a2af50480d00f690b15b_61b9a2af50480d00f690b173.css""/> <script type=""text/javascript"" src=""https://a.shgcdn2.com/js-2025-01-29-1744/global-assets-737800fada47a5d15aa4a6ffe58fa241abc2e7d1.js"" defer></script> <div class=""shg-box-vertical-align-wrapper""data-animations=''> <div class=""shg-box shg-c "" id=""s-70bc7467-dd28-471a-abd3-3c976d9a0811""> <div class=""shg-box-overlay""></div><div class=""shg-box-content""> </div> </div> </div> </div>","<div class=""shogun-root"" data-shogun-id=""5fa45bbbc78f41005136c314"" data-shogun-site-id=""ca27d9dd-1009-49a5-b304-4669c3eaa929"" data-shogun-page-id=""5fa45bbbc78f41005136c314"" data-shogun-page-version-id=""61b9a2af50480d00f690b15b"" data-shogun-platform-type=""shopify"" data-shogun-variant-id=""61b9a2af50480d00f690b173"" data-shogun-page-type=""category"" data-shogun-power-up-type="""" data-shogun-power-up-id="""" data-region=""below""> </div>","
<meta name=""shogun_placeholder"" content=""shogun_placeholder"" />

","-","","",""
"93994319968","new-releases","MERGE","New Releases","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">New McDavid Releases</h2>
<br>
<p style=""text-align: left;""> Looking for the latest and greatest in sports protective gear? Look no further than McDavid's new releases collection. We're constantly innovating and introducing new products designed to give athletes the edge they need to excel.</p>
<br>
<p style=""text-align: left;"">From our latest HEX® technology to our advanced compression wear, you'll find the newest and most effective gear to take your performance to the next level. Keep checking back for the latest and greatest from McDavid.</p>
<br>

","Manual","","2025-11-11 04:03:42 -0800","true","2019-05-02 13:04:07 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/800x400_983e30d5-32d9-41e3-91de-f7f6df7af8c2.png?v=1580547836","5","5","","7","true","all conditions","Tag","Equals","McDavid New Release","New Releases - Innovative Sports Protective Gear | McDavidUSA","Stay ahead of the game with McDavid's new releases collection. From HEX® technology to advanced compression wear, we constantly innovate to provide the latest and most effective gear to help you excel. Find the newest gear to take your performance to the next level, and keep checking back for more from McDavid.","","","","","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/MD23_PLP_CollectionImageHeaders_NewReleases.jpg?v=1685985471","","","","","","",""
"93994713184","injury","MERGE","Injury Prevention & Recovery Gear","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">Injury Recovery and Prevention Gear</h2>
<br>
<p style=""text-align: left;"">As an athlete, injuries are an inevitable part of the game. But that doesn't mean you have to stay sidelined for long. At McDavid, we're dedicated to helping you get back on the field or court as quickly as possible. Our range of high-quality sports protection and performance apparel is designed to support and enhance your athletic abilities.</p>
<br>
<p style=""text-align: left;"">Discover our innovative line of premium sports gear, designed to help you perform at your best while also minimizing the risk of injury. Whether you're a seasoned pro or just starting out, our products are designed to meet the needs of athletes of all levels.</p>
<br>
<p style=""text-align: left;"">And the best part? You can shop now and enjoy free shipping on qualifying orders. So what are you waiting for? Get back in the game with McDavid today!</p>
<br>
<p style=""text-align: left;"">Shop Gear for Injuries and Recovery: <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-knee-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Knee Injuries</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-foot-ankle-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Foot and Ankle Injuries</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-elbow-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Elbow Injuries</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-shoulder-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Shoulder Injuries</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-back-waist-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Back/Waist Injuries</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-wrist-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Wrist Injuries</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/injury-leg-injuries"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Leg Injuries</a></strong></span></p>","Manual","","2025-11-11 04:03:42 -0800","true","2019-05-02 13:17:16 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/800x400_5a4ae66d-cdb3-41a7-8ad8-dbd788a621de.png?v=1580546067","5","5","","8","true","all conditions","Type","Equals","Braces & Supports","Shop Gear by Injury & Recovery  | McDavidUSA","Looking to get back in the game quickly after an injury? McDavid has you covered with our premium sports protection and performance apparel. With a focus on innovation, we offer gear that helps you perform at your best while protecting you from harm. And with qualifying orders, enjoy free shipping on your purchase. Shop now and get back to what you love.","","","","","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/MD23_PLP_CollectionImageHeaders_InjuryRecovery.jpg?v=1685985472","","","","","","",""
"96549175392","sports","MERGE","Sports Protective Gear & Accessories","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">Sports Protective Equipment &amp; Accessories</h2>
<br>
<p style=""text-align: left;"">At McDavid, we understand that no two athletes are the same, and each sport has its own unique set of demands and injuries. From Football to Basketball, Running to Lacrosse, we've researched the needs of athletes in each sport and designed protective gear accordingly.</p>
<br>
<p style=""text-align: left;"">Our products offer pain relief, support, and protection tailored to your specific sport, ensuring that you can perform at your best without worrying about injury. Don't settle for one-size-fits-all gear - trust McDavid to have your back, no matter what sport you play.</p>
<br>
<p style=""text-align: left;"">Shop Gear By Sport: <span style=""color: #e31e37;""><a href=""/collections/sports-basketball"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;""><strong>Basketball</strong></a></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/sports-football"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Football</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/sports-baseball-softball"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Baseball/Softball</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/sports-tennis"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Tennis</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/sports-training-workout-fitness"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Training &amp; Fitness</a></strong></span> | <span style=""text-decoration: underline; color: #e31e37;""><strong><a href=""/collections/sports-volleyball"" rel=""nofollow"" style=""color: #e31e37; text-decoration: underline;"">Volleyball</a></strong></span></p>","Manual","","2025-11-11 04:03:42 -0800","true","2019-06-10 10:10:18 -0700","web","https://cdn.shopify.com/s/files/1/0096/9926/2560/collections/TopNavBanner_29b8e9de-0489-4077-8095-3b282d9c6376.png?v=1580546910","5","5","","9","true","all conditions","Tag","Equals","Sport","Sports-Specific Protective Gear & Accessories | McDavidUSA","Find your sport at McDavidUSA and get the gear you need to stay in the game longer and stronger. Shop by sport for Basketball, Football, Lacrosse, Baseball, Running, Training, Fitness & MMA, Get everything you need to perform at your best with McDavidUSA.","","","","","https://cdn.shopify.com/s/files/1/0096/9926/2560/files/MD23_PLP_CollectionImageHeaders_Sports.jpg?v=1685985472","","","","","","",""
"97524514912","hinged-knee-braces","MERGE","Hinged Knee Braces","<h2 style=""font-size: 24px !important; font-weight: bold !important; text-align: center;"">Experience Unrivaled Stability with McDavid Hinged Knee Braces</h2>
<br>
<p style=""text-align: left;"">Unlock the pinnacle of protection and support with McDavid Hinged Knee Braces. Specially crafted for individuals requiring advanced post-surgery care or heightened support during athletic endeavors, these braces redefine the standard of knee reinforcement. Engineered to maintain optimal alignment and promote healing while minimizing the risk of further injury, McDavid Hinged Knee Braces offer unparalleled stability and peace of mind.</p>
<p style=""text-align: left;""><span style=""text-decoration: underline;""><strong>Advanced Support for Enhanced Recovery</strong></span>:</p>
<ul>
<li>McDavid Hinged Knee Braces are meticulously designed to provide a superior level of protection and support, making them a preferred choice for patients and athletes seeking comprehensive knee care.</li>
<li>Experience the transformative power of advanced stabilization as these braces keeps your knee in proper alignment during movement, facilitating the healing process and reducing the likelihood of reinjury.</li>
<li>Available in <span style=""text-decoration: underline; color: #cc123c;""><a href=""https://www.mcdavidusa.com/collections/braces-supports-body-protection-level-maximum"" title=""Link to McDavid Level 3 Maximum Collection"" style=""color: #cc123c;""><strong>Level 3 Maximum</strong></a></span> and <span style=""text-decoration: underline; color: #cc123c;""><a href=""https://www.mcdavidusa.com/collections/braces-supports-body-protection-level-maximum-plus"" title=""Link to McDavid Level 3 Maximum Plus Collection"" style=""color: #cc123c;""><strong>Maximum Plus</strong></a></span> protection and support.</li>
<li>Ideal for moderate to major instabilities, proactive injury prevention, and post-surgical joint protection.</li>
</ul>
<p style=""text-align: left;""><span style=""text-decoration: underline;""><strong>Unmatched Performance, Superior Comfor</strong></span>t:</p>
<ul>
<li>Don't compromise on comfort while prioritizing support. McDavid Hinged Knee Braces combine cutting-edge technology with premium materials to offer a comfortable fit without sacrificing performance.</li>
<li>Whether you're recovering from surgery or pushing your limits on the field, these braces adapt seamlessly to your lifestyle, providing unrivaled stability and confidence with every step.</li>
</ul>
<p style=""text-align: left;""><span style=""text-decoration: underline;""><strong>Elevate Your Recovery Journey</strong></span>:</p>
<ul>
<li>Empower your recovery journey with McDavid Hinged Knee Braces. Designed to optimize healing and prevent setbacks, these braces serve as a reliable companion on your path to recovery.</li>
<li>Invest in your well-being and embrace the reassurance of superior protection and support. Choose McDavid Hinged Knee Braces and experience the difference today.</li>
</ul>
<p style=""text-align: left;"">Don't settle for anything less than excellence when it comes to knee care. Embrace the unparalleled support and stability of McDavid Hinged Knee Braces. Transform your recovery journey and reclaim your confidence in motion.</p>","Manual","","2025-11-09 04:03:30 -0800","true","2019-06-27 11:27:38 -0700","web","","","","","10","true","all conditions","Tag","Equals","Hinged Knee Brace","Hinged Knee Braces for Protection, Support, and Recovery | McDavid","Often used post-surgery,  McDavid Hinged Knee Braces are for patients and athletes who need a higher level of protection and support. This type of brace keeps your knee in the proper alignment when it bends, to help heal and avoid further injuries. Shop today & earn FREE Shipping withi Qualifying Orders! Learn more..","","","","","","","","","","","",""
