ID,Handle,Command,Title,Is Default,Top Row,Row #,Menu Item: ID,Menu Item: Title,Menu Item: Command,Menu Item: Resource Type,Menu Item: Resource ID,Menu Item: Resource Handle,Menu Item: Collection Tags,Menu Item: URL,Menu Item: Parent ID,Menu Item: Parent Title,Menu Item: Position
64618201176,main-menu,MERGE, Main Menu,true,true,1,150094413912,HYDRATION,MERGE,COLLECTION,107842961496,hydration,,/collections/hydration,,,1
64618201176,main-menu,MERGE, Main Menu,true,,2,150185443416,STORAGE,MERGE,COLLECTION,176719855704,storage-gear,,/collections/storage-gear,,,2
64618201176,main-menu,MERGE, Main Menu,true,,3,150185508952,SAFETY & GEAR,MERGE,COLLECTION,268451512408,running-safety-gear,,/collections/running-safety-gear,,,3
64618201176,main-menu,MERGE, Main Menu,true,,4,150185476184,APPAREL,MERGE,COLLECTION,260488200280,apparel,,/collections/apparel,,,4
64618201176,main-menu,MERGE, Main Menu,true,,5,271645638744,Sale,MERGE,COLLECTION,107843125336,sale,,/collections/sale,,,5
64656113752,footer-2,MERGE,Footer HELP Column,,true,6,150186721368,About Nathan Sports,MERGE,PAGE,24040833112,about-nathan-sports,,/pages/about-nathan-sports,,,1
64656113752,footer-2,MERGE,Footer HELP Column,,,7,422104236120,NS+ Rewards,MERGE,HTTP,,,,https://www.nathansports.com/pages/rewards,,,2
64656113752,footer-2,MERGE,Footer HELP Column,,,8,414022565976,Affiliates,MERGE,PAGE,80815915096,affiliate,,/pages/affiliate,,,3
64656113752,footer-2,MERGE,Footer HELP Column,,,9,261122457688,"Military, Teacher & Medical Workers Discount",MERGE,PAGE,51347521624,salute-our-heroes,,/pages/salute-our-heroes,,,4
64656113752,footer-2,MERGE,Footer HELP Column,,,10,421943967832,Shop Digital Gift Cards,MERGE,PRODUCT,7318985605208,nathan-digital-gift-card,,/products/nathan-digital-gift-card,,,5
64656113752,footer-2,MERGE,Footer HELP Column,,,11,150186819672,Blog,MERGE,BLOG,24779259992,posts,,/blogs/posts,,,6
64656113752,footer-2,MERGE,Footer HELP Column,,,12,413216473176,Buzzworthy News,MERGE,HTTP,,,,https://www.nathansports.com/pages/thebuzz,,,7
182036201560,ehs-main-menu,MERGE,[eHs] Main Menu,,true,13,421993545816,HYDRATION,MERGE,HTTP,,,,#,,,1
182036201560,ehs-main-menu,MERGE,[eHs] Main Menu,,,14,421993578584,MEN,MERGE,HTTP,,,,#,,,2
182036201560,ehs-main-menu,MERGE,[eHs] Main Menu,,,15,421993611352,WOMEN,MERGE,HTTP,,,,#,,,3
182036201560,ehs-main-menu,MERGE,[eHs] Main Menu,,,16,421993644120,RUNNING ESSENTIALS,MERGE,HTTP,,,,#,,,4
182036201560,ehs-main-menu,MERGE,[eHs] Main Menu,,,17,421993676888,SALE,MERGE,HTTP,,,,#,,,5
64618233944,footer,MERGE,Footer ABOUT Column,true,true,18,150186491992,Store Locator,MERGE,HTTP,,,,/apps/store-locator,,,1
64618233944,footer,MERGE,Footer ABOUT Column,true,,19,417062813784,Apparel 101,MERGE,PAGE,82140266584,apparel-101,,/pages/apparel-101,,,2
64618233944,footer,MERGE,Footer ABOUT Column,true,,20,412934013016,Product 101,MERGE,HTTP,,,,https://www.nathansports.com/pages/product101,,,3
64618233944,footer,MERGE,Footer ABOUT Column,true,,21,150186557528,Shipping Policy,MERGE,PAGE,24041259096,shipping-policy,,/pages/shipping-policy,,,4
64618233944,footer,MERGE,Footer ABOUT Column,true,,22,256679641176,Returns & Exchanges,MERGE,PAGE,24041291864,returns-exchanges,,/pages/returns-exchanges,,,5
64618233944,footer,MERGE,Footer ABOUT Column,true,,23,421908349016,Satisfaction Guarantee,MERGE,PAGE,84258422872,satisfaction-guarantee,,/pages/satisfaction-guarantee,,,6
64618233944,footer,MERGE,Footer ABOUT Column,true,,24,421908381784,Accessibility Statement,MERGE,PAGE,83707527256,accessibility-statement,,/pages/accessibility-statement,,,7
64618233944,footer,MERGE,Footer ABOUT Column,true,,25,421908414552,How to Exercise Your CCPA Rights,MERGE,PAGE,83970424920,how-to-exercise-your-ccpa-rights,,/pages/how-to-exercise-your-ccpa-rights,,,8
182036299864,men,MERGE,[eHs] Main Menu - Men,,true,26,421993971800,FEATURED,MERGE,HTTP,,,,#,,,1
182036299864,men,MERGE,[eHs] Main Menu - Men,,,27,421994004568,New Arrivals for Men,MERGE,HTTP,,,,#,421993971800,FEATURED,1
182036299864,men,MERGE,[eHs] Main Menu - Men,,,28,421994037336,Men's Hydration Gear,MERGE,HTTP,,,,#,421993971800,FEATURED,2
182036299864,men,MERGE,[eHs] Main Menu - Men,,,29,421994070104,Men's Apparel,MERGE,HTTP,,,,#,421993971800,FEATURED,3
182036299864,men,MERGE,[eHs] Main Menu - Men,,,30,421994102872,TOPS,MERGE,HTTP,,,,#,,,2
182036299864,men,MERGE,[eHs] Main Menu - Men,,,31,421994135640,Shop All Tops,MERGE,HTTP,,,,#,421994102872,TOPS,1
182036299864,men,MERGE,[eHs] Main Menu - Men,,,32,421994168408,Tanks,MERGE,HTTP,,,,#,421994102872,TOPS,2
182036299864,men,MERGE,[eHs] Main Menu - Men,,,33,421994201176,Short Sleeves,MERGE,HTTP,,,,#,421994102872,TOPS,3
182036299864,men,MERGE,[eHs] Main Menu - Men,,,34,421994233944,Long Sleeves,MERGE,HTTP,,,,#,421994102872,TOPS,4
182036299864,men,MERGE,[eHs] Main Menu - Men,,,35,421994266712,Hoodies & Jackets,MERGE,HTTP,,,,#,421994102872,TOPS,5
182036299864,men,MERGE,[eHs] Main Menu - Men,,,36,421994299480,BOTTOMS,MERGE,HTTP,,,,#,,,3
182036299864,men,MERGE,[eHs] Main Menu - Men,,,37,421994332248,Shop All Bottoms,MERGE,HTTP,,,,#,421994299480,BOTTOMS,1
182036299864,men,MERGE,[eHs] Main Menu - Men,,,38,421994365016,Shorts,MERGE,HTTP,,,,#,421994299480,BOTTOMS,2
182036299864,men,MERGE,[eHs] Main Menu - Men,,,39,421994397784,Joggers,MERGE,HTTP,,,,#,421994299480,BOTTOMS,3
179569426520,footer-3,MERGE,Footer BOTTOM,,true,40,412083617880,Privacy Policy,MERGE,PAGE,24041226328,privacy-policy,,/pages/privacy-policy,,,1
179569426520,footer-3,MERGE,Footer BOTTOM,,,41,412083650648,Terms of Use,MERGE,PAGE,24042995800,terms,,/pages/terms,,,2
179569426520,footer-3,MERGE,Footer BOTTOM,,,42,412083683416,SB657,MERGE,PAGE,48186753112,california-transparency-in-supply-chain-act-disclosure-statement-sb-657,,/pages/california-transparency-in-supply-chain-act-disclosure-statement-sb-657,,,3
179569426520,footer-3,MERGE,Footer BOTTOM,,,43,414585749592,California Proposition 65,MERGE,HTTP,,,,https://www.nathansports.com/pages/proposition-65-warning,,,4
182036758616,footer-copyright-menu,MERGE, Footer - Copyright Menu,,true,44,421996003416,Privacy Policy,MERGE,PAGE,24041226328,privacy-policy,,/pages/privacy-policy,,,1
