ID,Handle,Command,Display Name,Status,Updated At,Definition: Handle,Definition: Name,Top Row,Row #,Field,Value
81643864235,blue-camo,MERGE,Blue Camo,,2024-07-09 23:54:57 -0600,shopify--color-pattern,Color,true,1,label,Blue Camo
81643864235,blue-camo,MERGE,Blue Camo,,2024-07-09 23:54:57 -0600,shopify--color-pattern,Color,,2,color,#005BD3
81643864235,blue-camo,MERGE,Blue Camo,,2024-07-09 23:54:57 -0600,shopify--color-pattern,Color,,3,image,
81643864235,blue-camo,MERGE,Blue Camo,,2024-07-09 23:54:57 -0600,shopify--color-pattern,Color,,4,color_taxonomy_reference,gid://shopify/TaxonomyValue/2
81643864235,blue-camo,MERGE,Blue Camo,,2024-07-09 23:54:57 -0600,shopify--color-pattern,Color,,5,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
80218292395,forest-green-heather,MERGE,Forest Green Heather,,2024-07-09 10:11:10 -0600,shopify--color-pattern,Color,true,6,label,Forest Green Heather
80218292395,forest-green-heather,MERGE,Forest Green Heather,,2024-07-09 10:11:10 -0600,shopify--color-pattern,Color,,7,color,#05AA3D
80218292395,forest-green-heather,MERGE,Forest Green Heather,,2024-07-09 10:11:10 -0600,shopify--color-pattern,Color,,8,image,
80218292395,forest-green-heather,MERGE,Forest Green Heather,,2024-07-09 10:11:10 -0600,shopify--color-pattern,Color,,9,color_taxonomy_reference,gid://shopify/TaxonomyValue/9
80218292395,forest-green-heather,MERGE,Forest Green Heather,,2024-07-09 10:11:10 -0600,shopify--color-pattern,Color,,10,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
204982255981,storm-green-breezy-blue,MERGE,Storm Green/Breezy Blue,,2024-12-19 12:48:32 -0700,shopify--color-pattern,Color,true,11,label,Storm Green/Breezy Blue
204982255981,storm-green-breezy-blue,MERGE,Storm Green/Breezy Blue,,2024-12-19 12:48:32 -0700,shopify--color-pattern,Color,,12,color,#005BD3
204982255981,storm-green-breezy-blue,MERGE,Storm Green/Breezy Blue,,2024-12-19 12:48:32 -0700,shopify--color-pattern,Color,,13,image,
204982255981,storm-green-breezy-blue,MERGE,Storm Green/Breezy Blue,,2024-12-19 12:48:32 -0700,shopify--color-pattern,Color,,14,color_taxonomy_reference,gid://shopify/TaxonomyValue/2
204982255981,storm-green-breezy-blue,MERGE,Storm Green/Breezy Blue,,2024-12-19 12:48:32 -0700,shopify--color-pattern,Color,,15,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
90401145003,peacoat,MERGE,Peacoat,,2024-08-08 15:59:20 -0600,shopify--color-pattern,Color,true,16,label,Peacoat
90401145003,peacoat,MERGE,Peacoat,,2024-08-08 15:59:20 -0600,shopify--color-pattern,Color,,17,color,
90401145003,peacoat,MERGE,Peacoat,,2024-08-08 15:59:20 -0600,shopify--color-pattern,Color,,18,image,
90401145003,peacoat,MERGE,Peacoat,,2024-08-08 15:59:20 -0600,shopify--color-pattern,Color,,19,color_taxonomy_reference,gid://shopify/TaxonomyValue/2
90401145003,peacoat,MERGE,Peacoat,,2024-08-08 15:59:20 -0600,shopify--color-pattern,Color,,20,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
81644191915,grey-mist-heather,MERGE,Grey Mist Heather,,2024-07-10 00:00:37 -0600,shopify--color-pattern,Color,true,21,label,Grey Mist Heather
81644191915,grey-mist-heather,MERGE,Grey Mist Heather,,2024-07-10 00:00:37 -0600,shopify--color-pattern,Color,,22,color,#808080
81644191915,grey-mist-heather,MERGE,Grey Mist Heather,,2024-07-10 00:00:37 -0600,shopify--color-pattern,Color,,23,image,
